tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,data_year
2012-339,Brisbane,Hard,32.0,250,O,20120101,MC10,1.0,DA,Andy Murray,R,191.0,GBR,24.632,4.0,7380.0,K926,,DA,Mikhail Kukushkin,R,183.0,KAZ,24.016,91.0,598.0,5-7 6-3 6-2,3.0,R32,130.0,10.0,0.0,92.0,57.0,41.0,17.0,15.0,4.0,7.0,4.0,3.0,77.0,41.0,29.0,15.0,14.0,4.0,9.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,MA30,,DA,Gilles Muller,L,193.0,LUX,28.649,54.0,893.0,M708,,DA,Ricardo Mello,L,175.0,BRA,31.028,85.0,630.0,6-7(3) 7-6(4) 6-3,3.0,R32,136.0,23.0,1.0,104.0,55.0,47.0,31.0,17.0,3.0,3.0,3.0,5.0,103.0,67.0,54.0,20.0,16.0,1.0,2.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,B837,,DA,Marcos Baghdatis,R,178.0,CYP,26.541,44.0,940.0,H940,,DA,Ryan Harrison,R,185.0,USA,19.652,79.0,658.0,7-6(7) 6-4,3.0,R32,101.0,8.0,3.0,71.0,31.0,26.0,26.0,11.0,5.0,6.0,14.0,1.0,79.0,48.0,36.0,17.0,11.0,2.0,4.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,N552,5.0,DA,Kei Nishikori,R,178.0,JPN,22.007,25.0,1430.0,SK94,,DA,Cedrik-Marcel Stebe,L,180.0,GER,21.229,81.0,652.0,3-6 6-1 6-4,3.0,R32,130.0,1.0,2.0,75.0,49.0,31.0,16.0,13.0,3.0,6.0,4.0,2.0,90.0,49.0,27.0,23.0,13.0,9.0,14.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,I165,,DA,Denis Istomin,R,185.0,UZB,25.317,73.0,685.0,MB02,4.0,DA,Florian Mayer,R,191.0,GER,28.241,23.0,1630.0,7-6(5) 2-3 RET,3.0,R32,69.0,10.0,1.0,56.0,28.0,23.0,18.0,8.0,2.0,2.0,2.0,1.0,55.0,38.0,28.0,11.0,9.0,0.0,0.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,H355,,DA,Tommy Haas,R,188.0,GER,33.747,205.0,237.0,ME05,,WC,Marinko Matosevic,R,193.0,AUS,26.398,203.0,240.0,6-3 7-5,3.0,R32,99.0,4.0,2.0,66.0,40.0,32.0,14.0,11.0,6.0,7.0,4.0,2.0,77.0,45.0,28.0,15.0,10.0,10.0,13.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,I230,,Q,Tatsuma Ito,R,180.0,JPN,23.622,122.0,474.0,MK40,,WC,Benjamin Mitchell,R,183.0,AUS,19.086,227.0,214.0,6-4 6-2,3.0,R32,70.0,6.0,0.0,52.0,30.0,24.0,15.0,9.0,2.0,2.0,11.0,6.0,68.0,44.0,30.0,7.0,9.0,8.0,11.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,TA46,8.0,DA,Bernard Tomic,R,196.0,AUS,19.195,42.0,970.0,B747,,DA,Julien Benneteau,R,185.0,FRA,30.031,52.0,900.0,6-2 4-6 7-5,3.0,R32,147.0,7.0,2.0,92.0,53.0,36.0,23.0,15.0,4.0,7.0,14.0,12.0,121.0,71.0,48.0,19.0,15.0,16.0,21.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,S694,6.0,DA,Radek Stepanek,R,185.0,CZE,33.095,28.0,1275.0,E690,,DA,Matthew Ebden,R,188.0,AUS,24.099,86.0,627.0,6-4 3-6 6-3,3.0,R32,132.0,8.0,4.0,91.0,51.0,38.0,22.0,14.0,3.0,4.0,5.0,3.0,99.0,64.0,43.0,19.0,14.0,10.0,12.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,N289,,DA,Jarkko Nieminen,L,185.0,FIN,30.442,77.0,666.0,L799,,Q,Jesse Levine,L,175.0,CAN,24.214,164.0,308.0,7-6(4) 6-2,3.0,R32,101.0,3.0,0.0,71.0,53.0,32.0,10.0,10.0,6.0,9.0,3.0,6.0,90.0,63.0,36.0,10.0,10.0,9.0,14.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,A511,,Q,Igor Andreev,R,185.0,RUS,28.468,115.0,494.0,ME82,,DA,Adrian Mannarino,L,180.0,FRA,23.507,87.0,623.0,7-6(6) 6-2,3.0,R32,86.0,7.0,3.0,70.0,41.0,33.0,16.0,10.0,2.0,3.0,3.0,3.0,60.0,35.0,24.0,13.0,10.0,3.0,6.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,D801,3.0,DA,Alexandr Dolgopolov,R,180.0,UKR,23.149,15.0,1925.0,F444,,DA,Alejandro Falla,L,185.0,COL,28.131,74.0,671.0,7-6(3) 6-2,3.0,R32,81.0,5.0,0.0,75.0,37.0,26.0,16.0,10.0,4.0,7.0,0.0,3.0,58.0,33.0,16.0,12.0,10.0,4.0,9.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,P624,,DA,Philipp Petzschner,R,185.0,GER,27.773,63.0,780.0,M762,7.0,DA,Jurgen Melzer,L,183.0,AUT,30.612,33.0,1170.0,6-1 7-5,3.0,R32,66.0,8.0,1.0,61.0,37.0,31.0,13.0,10.0,2.0,2.0,5.0,2.0,54.0,34.0,21.0,9.0,9.0,0.0,3.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,G725,,DA,Santiago Giraldo,R,188.0,COL,24.096,55.0,890.0,MH30,,Q,John Millman,R,183.0,AUS,22.549,541.0,51.0,6-3 6-3,3.0,R32,60.0,5.0,0.0,54.0,36.0,30.0,9.0,9.0,2.0,2.0,4.0,1.0,46.0,28.0,18.0,9.0,9.0,1.0,4.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,D994,,WC,James Duckworth,R,183.0,AUS,19.945,275.0,171.0,M873,,DA,Nicolas Mahut,R,191.0,FRA,29.944,80.0,653.0,6-4 6-4,3.0,R32,71.0,5.0,1.0,52.0,31.0,25.0,12.0,10.0,1.0,3.0,5.0,5.0,52.0,32.0,21.0,9.0,10.0,3.0,7.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,SD32,2.0,DA,Gilles Simon,R,183.0,FRA,27.012,12.0,2165.0,SG87,,DA,Ryan Sweeting,R,196.0,USA,24.468,72.0,690.0,6-3 6-4,3.0,R32,83.0,3.0,1.0,63.0,43.0,32.0,10.0,10.0,1.0,2.0,2.0,4.0,60.0,31.0,23.0,10.0,9.0,5.0,8.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,MC10,1.0,DA,Andy Murray,R,191.0,GBR,24.632,4.0,7380.0,MA30,,DA,Gilles Muller,L,193.0,LUX,28.649,54.0,893.0,4-6 7-6(4) 6-0,3.0,R16,120.0,9.0,5.0,82.0,49.0,44.0,12.0,14.0,2.0,4.0,10.0,1.0,92.0,56.0,39.0,17.0,14.0,2.0,6.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,B837,,DA,Marcos Baghdatis,R,178.0,CYP,26.541,44.0,940.0,N552,5.0,DA,Kei Nishikori,R,178.0,JPN,22.007,25.0,1430.0,6-3 6-4,3.0,R16,79.0,10.0,2.0,63.0,33.0,26.0,13.0,10.0,3.0,5.0,0.0,0.0,50.0,30.0,16.0,9.0,9.0,3.0,7.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,I165,,DA,Denis Istomin,R,185.0,UZB,25.317,73.0,685.0,H355,,DA,Tommy Haas,R,188.0,GER,33.747,205.0,237.0,W/O,3.0,R16,,10.0,2.0,63.0,33.0,26.0,13.0,10.0,3.0,5.0,0.0,0.0,50.0,30.0,16.0,9.0,9.0,3.0,7.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,TA46,8.0,DA,Bernard Tomic,R,196.0,AUS,19.195,42.0,970.0,I230,,Q,Tatsuma Ito,R,180.0,JPN,23.622,122.0,474.0,6-1 6-2,3.0,R16,44.0,10.0,1.0,45.0,30.0,24.0,7.0,8.0,0.0,1.0,1.0,2.0,39.0,23.0,11.0,5.0,7.0,1.0,6.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,S694,6.0,DA,Radek Stepanek,R,185.0,CZE,33.095,28.0,1275.0,N289,,DA,Jarkko Nieminen,L,185.0,FIN,30.442,77.0,666.0,7-6(3) 6-2,3.0,R16,89.0,3.0,0.0,63.0,39.0,26.0,15.0,10.0,3.0,5.0,3.0,1.0,66.0,39.0,22.0,14.0,10.0,0.0,4.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,D801,3.0,DA,Alexandr Dolgopolov,R,180.0,UKR,23.149,15.0,1925.0,A511,,Q,Igor Andreev,R,185.0,RUS,28.468,115.0,494.0,6-7(3) 7-6(9) 6-2,3.0,R16,158.0,0.0,2.0,120.0,78.0,54.0,24.0,16.0,6.0,8.0,10.0,4.0,115.0,71.0,52.0,22.0,16.0,5.0,9.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,G725,,DA,Santiago Giraldo,R,188.0,COL,24.096,55.0,890.0,P624,,DA,Philipp Petzschner,R,185.0,GER,27.773,63.0,780.0,6-4 6-4,3.0,R16,76.0,1.0,2.0,59.0,35.0,27.0,15.0,10.0,0.0,0.0,9.0,1.0,66.0,38.0,29.0,13.0,10.0,1.0,3.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,SD32,2.0,DA,Gilles Simon,R,183.0,FRA,27.012,12.0,2165.0,D994,,WC,James Duckworth,R,183.0,AUS,19.945,275.0,171.0,6-3 7-5,3.0,R16,90.0,11.0,4.0,66.0,31.0,26.0,21.0,11.0,0.0,1.0,8.0,1.0,67.0,38.0,25.0,15.0,10.0,5.0,8.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,MC10,1.0,DA,Andy Murray,R,191.0,GBR,24.632,4.0,7380.0,B837,,DA,Marcos Baghdatis,R,178.0,CYP,26.541,44.0,940.0,6-2 6-2,3.0,QF,66.0,3.0,2.0,52.0,31.0,26.0,10.0,8.0,2.0,2.0,2.0,3.0,40.0,19.0,12.0,7.0,8.0,0.0,4.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,TA46,8.0,DA,Bernard Tomic,R,196.0,AUS,19.195,42.0,970.0,I165,,DA,Denis Istomin,R,185.0,UZB,25.317,73.0,685.0,6-3 7-6(4),3.0,QF,79.0,8.0,0.0,72.0,45.0,36.0,15.0,11.0,0.0,0.0,8.0,2.0,57.0,32.0,26.0,15.0,10.0,0.0,1.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,D801,3.0,DA,Alexandr Dolgopolov,R,180.0,UKR,23.149,15.0,1925.0,S694,6.0,DA,Radek Stepanek,R,185.0,CZE,33.095,28.0,1275.0,4-6 6-3 6-3,3.0,QF,136.0,16.0,2.0,88.0,52.0,33.0,21.0,14.0,3.0,6.0,2.0,4.0,92.0,48.0,34.0,18.0,14.0,8.0,13.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,SD32,2.0,DA,Gilles Simon,R,183.0,FRA,27.012,12.0,2165.0,G725,,DA,Santiago Giraldo,R,188.0,COL,24.096,55.0,890.0,7-6(2) 6-4,3.0,QF,108.0,5.0,1.0,78.0,47.0,34.0,18.0,11.0,6.0,8.0,2.0,0.0,78.0,52.0,32.0,13.0,11.0,5.0,8.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,MC10,1.0,DA,Andy Murray,R,191.0,GBR,24.632,4.0,7380.0,TA46,8.0,DA,Bernard Tomic,R,196.0,AUS,19.195,42.0,970.0,6-3 6-2,3.0,SF,71.0,13.0,1.0,48.0,34.0,30.0,8.0,9.0,0.0,0.0,3.0,1.0,52.0,29.0,21.0,10.0,8.0,8.0,11.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,D801,3.0,DA,Alexandr Dolgopolov,R,180.0,UKR,23.149,15.0,1925.0,SD32,2.0,DA,Gilles Simon,R,183.0,FRA,27.012,12.0,2165.0,6-3 6-4,3.0,SF,82.0,3.0,0.0,48.0,27.0,23.0,15.0,9.0,1.0,1.0,6.0,1.0,65.0,38.0,24.0,16.0,10.0,4.0,7.0,2012
2012-339,Brisbane,Hard,32.0,250,O,20120101,MC10,1.0,DA,Andy Murray,R,191.0,GBR,24.632,4.0,7380.0,D801,3.0,DA,Alexandr Dolgopolov,R,180.0,UKR,23.149,15.0,1925.0,6-1 6-3,3.0,F,66.0,9.0,2.0,47.0,30.0,25.0,9.0,8.0,3.0,4.0,2.0,4.0,66.0,35.0,19.0,11.0,8.0,5.0,10.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,N409,1.0,DA,Rafael Nadal,L,185.0,ESP,25.582,2.0,9595.0,K435,,DA,Philipp Kohlschreiber,R,178.0,GER,28.214,43.0,960.0,6-3 6-7(2) 6-3,3.0,R32,153.0,7.0,0.0,90.0,67.0,47.0,15.0,16.0,2.0,4.0,6.0,1.0,100.0,64.0,41.0,18.0,14.0,8.0,12.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,G512,,Q,Denis Gremelmayr,L,183.0,GER,30.379,189.0,262.0,S843,,DA,Potito Starace,R,188.0,ITA,30.47,58.0,825.0,6-3 6-2,3.0,R32,73.0,3.0,1.0,68.0,42.0,32.0,11.0,9.0,4.0,5.0,1.0,2.0,53.0,36.0,23.0,4.0,8.0,4.0,8.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,K336,,DA,Ivo Karlovic,R,211.0,CRO,32.843,56.0,867.0,SC77,,DA,Sergiy Stakhovsky,R,193.0,UKR,25.988,62.0,780.0,6-7(1) 6-2 7-6(3),3.0,R32,130.0,8.0,1.0,101.0,66.0,52.0,21.0,16.0,4.0,4.0,6.0,3.0,98.0,63.0,50.0,20.0,16.0,3.0,5.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,Y061,7.0,DA,Mikhail Youzhny,R,183.0,RUS,29.522,35.0,1105.0,G858,,DA,Ernests Gulbis,R,191.0,LAT,23.34,61.0,785.0,6-4 6-7(4) 6-2,3.0,R32,135.0,4.0,2.0,98.0,75.0,51.0,15.0,15.0,6.0,8.0,11.0,8.0,96.0,61.0,38.0,17.0,15.0,4.0,9.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,MC65,4.0,DA,Gael Monfils,R,193.0,FRA,25.336,16.0,1910.0,MA49,,DA,Rui Machado,R,178.0,POR,27.729,68.0,698.0,7-5 6-3,3.0,R32,81.0,1.0,0.0,56.0,47.0,31.0,6.0,10.0,0.0,2.0,1.0,2.0,72.0,54.0,29.0,9.0,11.0,6.0,11.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,B896,,DA,Benjamin Becker,R,178.0,GER,30.546,304.0,148.0,K403,,DA,Igor Kunitsyn,R,180.0,RUS,30.256,71.0,692.0,6-4 7-5,3.0,R32,95.0,3.0,0.0,61.0,41.0,28.0,11.0,11.0,0.0,2.0,8.0,1.0,75.0,47.0,30.0,10.0,11.0,3.0,7.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,BC65,,Q,Matthias Bachinger,R,188.0,GER,24.753,94.0,587.0,BD06,,Q,Roberto Bautista Agut,R,183.0,ESP,23.718,178.0,275.0,6-3 6-4,3.0,R32,93.0,4.0,1.0,79.0,48.0,30.0,19.0,10.0,5.0,6.0,4.0,0.0,64.0,39.0,24.0,12.0,9.0,8.0,11.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,T840,5.0,DA,Viktor Troicki,R,193.0,SRB,25.892,22.0,1655.0,R685,,DA,Lukas Rosol,R,193.0,CZE,26.442,70.0,693.0,6-4 7-6(4),3.0,R32,79.0,16.0,1.0,63.0,42.0,38.0,10.0,11.0,2.0,3.0,6.0,4.0,69.0,46.0,33.0,11.0,11.0,2.0,4.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,B842,6.0,DA,Alex Bogomolov Jr.,R,178.0,RUS,28.695,34.0,1135.0,V254,,DA,Filippo Volandri,R,183.0,ITA,30.324,69.0,696.0,5-7 6-4 6-2,3.0,R32,122.0,6.0,0.0,79.0,52.0,34.0,15.0,15.0,2.0,7.0,0.0,2.0,105.0,64.0,35.0,19.0,15.0,6.0,13.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,R772,,DA,Albert Ramos-Vinolas,L,188.0,ESP,23.959,66.0,709.0,T315,,DA,Dmitry Tursunov,R,185.0,RUS,29.057,40.0,988.0,7-5 6-2,3.0,R32,92.0,3.0,4.0,59.0,34.0,28.0,13.0,10.0,5.0,6.0,5.0,0.0,65.0,47.0,27.0,7.0,10.0,8.0,12.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,C723,,DA,Flavio Cipolla,R,173.0,ITA,28.203,75.0,669.0,AC23,,WC,Jabor Al-Mutawa,R,185.0,QAT,17.602,1000.0,0.0,6-0 6-0,3.0,R32,37.0,0.0,1.0,29.0,19.0,18.0,6.0,6.0,0.0,0.0,0.0,7.0,37.0,17.0,7.0,3.0,6.0,4.0,10.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,T786,3.0,DA,Jo-Wilfried Tsonga,R,188.0,FRA,26.71,6.0,4335.0,J267,,WC,Malek Jaziri,R,185.0,TUN,27.951,118.0,485.0,7-6(5) 6-7(5) 6-1,3.0,R32,140.0,12.0,1.0,121.0,77.0,62.0,23.0,16.0,5.0,5.0,8.0,4.0,99.0,64.0,51.0,16.0,15.0,2.0,4.0,2012
2012-451,Doha,Hard,32.0,250,O,20120102,SA93,8.0,DA,Andreas Seppi,R,191.0,ITA,27.863,38.0,1015.0,K540,,DA,Lukasz Kubot,R,191.0,POL,29.632,57.0,828.0,6-2 6-3,3.0,R32,70.0,5.0,0.0,46.0,29.0,23.0,10.0,8.0,5.0,6.0,4.0,6.0,57.0,32.0,21.0,7.0,9.0,7.0,12.0,2012
